time,T_horno,T_preH_pos,T_preH_neg,P_out_pos,P_out_neg,T_out_pos,T_out_neg,Humedad,T_humidificador,Voltaje,Corriente,FlujoO2,FlujoCO2,FlujoCO,FlujoH2,FlujoCH4,FlujoPurga,FlujoN2_neg,FlujoN2_pos,FlujoAire,Valvula solH2,Valvula solCO2,Valvula solCO,Valvula solCH4,Valvula solPurga,Valvula solN2_neg,Valvula solO2,Valvula solN2_pos,Valvula solAire
09-16 16:06:00.60,21.8305,23.2686,21.834,0.0,0.0,0.0,27.4792,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:06:01.12,21.8207,23.2705,21.8286,0.0,0.0,0.0,27.4792,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:06:01.63,21.8262,23.2677,21.8273,0.0,0.0,0.0,27.4783,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:06:02.14,21.8262,23.2677,21.8273,0.0,0.0,0.0,27.4783,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:06:02.65,21.8262,23.2673,21.8232,0.0,0.0,0.0,27.473,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:06:03.16,21.8262,23.2673,21.8232,0.0,0.0,0.0,27.473,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:06:03.68,21.8201,23.2688,21.8304,0.0,0.0,0.0,27.4711,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:06:04.19,21.8201,23.2688,21.8304,0.0,0.0,0.0,27.4711,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:06:04.71,21.8163,23.2688,21.8273,0.0,0.0,0.0,27.4707,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:06:05.22,21.8163,23.2688,21.8273,0.0,0.0,0.0,27.4707,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:06:05.73,21.8163,23.2669,21.8281,0.0,0.0,0.0,27.4587,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:06:06.25,21.8163,23.2669,21.8281,0.0,0.0,0.0,27.4587,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:06:06.76,21.8178,23.2639,21.8326,0.0,0.0,0.0,27.4666,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:06:07.27,21.8178,23.2639,21.8326,0.0,0.0,0.0,27.4666,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:06:07.78,21.8178,23.2665,21.8322,0.0,0.0,0.0,27.4654,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
